Guard 	 (0.53, 0.80, 1.20) 	 (0.53, 0.45, 0.41)
Mechanic 	 (0.10, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Hotel staff 	 (0.76, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Red dragon 	 (0.96, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Red dragon leader 	 (0.96, 1.00, 2.00) 	 (0.00, 0.00, 0.00)
Blue lotus 	 (0.63, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Bodyguard 	 (0.40, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Medic 	 (0.49, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Tech crew 	 (0.14, 0.80, 1.20) 	 (0.00, 0.00, 0.00)
Red jacket 	 (0.07, 0.70, 1.00) 	 (0.00, 0.00, 0.00)
Yellow jacket 	 (0.15, 0.70, 1.00) 	 (0.00, 0.00, 0.00)
Green jacket 	 (0.41, 0.70, 1.00) 	 (0.00, 0.00, 0.00)
Purple jacket 	 (0.71, 0.70, 1.00) 	 (0.00, 0.00, 0.00)
Tuxedo 	 (0.71, 0.37, 0.43) 	 (0.00, 0.00, 0.00)
